,coef,std_err,t_value,p_value
const,1.039469294030886,0.019424778010123822,53.51254431268839,0.0
temperature,-0.00042645242071512383,9.752405872444144e-05,-4.372791968390939,1.246021212208353e-05
fuel_price,-0.004304457247738437,0.0038387067555940234,-1.12133005248856,0.26218927920963275
cpi,2.083344907808564e-05,4.7519203541315e-05,0.4384216806153379,0.6610953639425183
unemployment,-0.0009351677597774037,0.0009674609498435748,-0.9666206785179366,0.33377005306069296
holiday_flag,0.0681234957282296,0.006731003703035374,10.120852510823761,6.738784277174104e-24
